Time128Hz,Epoch,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,EventId,ID_Chunk
14.1796875,56.0,32.535712002675325,36.92019602565762,34.184147413106416,25.731144446511337,22.998532233007623,30.058118725408477,29.982336395394682,28.730012405214495,35.40472252508356,35.628165251410834,33.35799080605399,26.3483900359887,29.191765964778142,32.09290070126657,33025,4.0
14.1875,56.0,24.775287109935107,26.809327148364545,23.589933482147586,18.655487501070738,15.328106125646002,21.665552201047007,22.84641440177559,18.967021080864455,22.783173507272622,24.207800846248205,20.114544665502635,20.341641095265445,17.820876040241487,21.50622738498521,33025,4.0
14.1953125,56.0,16.028420998980295,15.124068432232875,14.049662787407954,17.24265063631445,12.786435011411996,12.039320934494356,15.822407482955484,13.21572426389109,13.72132349712723,12.491677954913413,9.399834210446272,19.412599011536514,9.914920414872668,14.5999061099034,33025,4.0
14.203125,56.0,4.44428108637851,4.27442674392303,5.115969806898164,14.511109560539083,5.683980377605067,2.0842665642234124,6.939443081826838,9.628592151136473,9.884372609302332,3.6134163522166887,2.7400566059661173,16.382358977212817,3.728320093866202,8.091535080303174,33025,4.0
14.2109375,56.0,-8.647239477190979,-7.807856388451668,-8.300893222007659,2.811256485359621,-5.9929190018794,-6.078853110259615,-3.54997146273422,2.7195178588173547,3.7084130140361395,-5.2280404538053915,-5.313260649552575,3.5999036509183213,-4.476256049765652,-4.290523982344126,33025,5.0
14.21875,56.0,-18.353789563630315,-18.026684737733063,-21.09839642529093,-12.982108135737931,-14.137283698464202,-12.491438992862399,-13.70374777419579,-10.360811993858064,-10.259340598808961,-15.119960117411168,-16.6880599361547,-12.361621997484775,-14.801640280953151,-18.90686966460821,33025,5.0
14.2265625,56.0,-21.942909109247353,-21.4955194041559,-23.257885520326738,-22.660736564169056,-16.044058664564545,-17.071164679162166,-20.605389853170436,-24.216796552104356,-26.599040867571063,-21.895528092064012,-25.378212223119775,-19.95703812648574,-21.88454940516239,-25.947526982627153,33025,5.0
14.234375,56.0,-20.613809062271883,-19.32145301160486,-16.829625852955104,-23.758014774363957,-15.656018720182146,-17.440404733361845,-21.544949436262314,-27.880699006983093,-33.34104197731122,-22.30976642268952,-25.204827325062666,-18.748724582482865,-21.524024650135615,-23.219278623184138,33025,5.0
14.2421875,56.0,-15.448476707606659,-13.381800699977077,-10.955694871598467,-19.266007370601727,-13.725863854933408,-13.598168576572846,-17.233396901066754,-17.36259293088976,-24.337259600825632,-17.44045279728094,-16.331825994448636,-15.27806233947851,-15.455390244090395,-15.661580824728162,33025,6.0
14.25,57.0,-7.5674616061794495,-4.50662676596842,-8.039140392213852,-11.437722021874393,-8.754126505940846,-9.541138644771024,-11.621995930338016,-3.946436168531335,-7.602326429242737,-10.051432883418983,-4.586282574072214,-10.765822811619401,-8.027410207115139,-7.90707680916141,33025,6.0
14.2578125,57.0,-1.3650751371165057,1.139672950502188,-5.574213988233353,-3.931542269265492,-3.8828677764948196,-7.118609282835507,-7.595334330668081,-1.7733695274980477,2.1473549254814515,-3.312773301608601,3.2777536476069997,-2.768477188802919,-2.1919986416305903,-3.6406153078397665,33025,6.0
14.265625,57.0,0.23892364962183876,-1.2271379390685695,-2.0301632496716024,-1.2785673969934663,-1.8200429295163474,-3.3683774095781587,-4.032592960457322,-7.7407667402261495,1.0969895065658193,0.508208745945538,4.626643486884589,5.563769161352326,1.0591566408266289,-3.1709106176435284,33025,6.0
