,AF3,F7,F3,F5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
56,4113.7177734375,4094.6154785156,4099.8715820313,4119.615234375,4079.8718261719,4105.384765625,4076.9230957031,4082.9487304688,4087.3076171875,4071.41015625,4070.2563476563,4141.1538085938,4085.6411132813,4095.6411132813
57,4116.41015625,4091.6667480469,4103.0771484375,4119.3588867188,4082.6923828125,4096.0258789063,4070.2563476563,4088.8461914063,4091.0256347656,4074.7436523438,4078.58984375,4140.384765625,4091.6667480469,4088.205078125
58,4122.5639648438,4092.5642089844,4105.8974609375,4123.0771484375,4078.58984375,4090.2563476563,4067.3076171875,4095.5129394531,4091.794921875,4075.5129394531,4092.1794433594,4158.8461914063,4095.2563476563,4100.6411132813
59,4121.9228515625,4095.2563476563,4098.3334960938,4121.1538085938,4077.3076171875,4093.205078125,4068.8461914063,4090.0,4085.3845214844,4074.3588867188,4083.9743652344,4152.4360351563,4091.6667480469,4107.3076171875
60,4117.8203125,4100.0,4098.205078125,4118.4614257813,4075.8974609375,4090.5129394531,4065.6411132813,4092.4357910156,4086.2819824219,4075.6411132813,4079.3588867188,4142.3076171875,4091.6667480469,4105.0
61,4119.3588867188,4105.1284179688,4111.6665039063,4121.0258789063,4083.7180175781,4089.3588867188,4066.0256347656,4102.9487304688,4092.8205566406,4076.6667480469,4090.8974609375,4163.3334960938,4092.5642089844,4108.8461914063
62,4118.8461914063,4103.3334960938,4111.41015625,4118.9741210938,4092.5642089844,4092.3076171875,4069.6154785156,4102.3076171875,4092.5642089844,4077.0512695313,4093.0769042969,4184.615234375,4092.5642089844,4115.6411132813
63,4114.3588867188,4093.3332519531,4096.41015625,4107.1796875,4080.0,4088.9743652344,4067.4357910156,4092.9487304688,4090.3845214844,4073.7180175781,4080.3845214844,4177.0512695313,4092.5642089844,4114.615234375
64,4111.5385742188,4090.5129394531,4089.8718261719,4104.3588867188,4068.9743652344,4089.2307128906,4066.41015625,4088.7180175781,4090.2563476563,4070.1281738281,4074.1025390625,4155.8974609375,4090.2563476563,4107.5639648438
65,4103.3334960938,4092.5642089844,4094.6154785156,4111.6665039063,4080.3845214844,4092.5642089844,4064.8718261719,4090.0,4087.5642089844,4073.4614257813,4075.5129394531,4141.6665039063,4088.4614257813,4102.6923828125
66,4097.1796875,4087.0512695313,4095.3845214844,4109.7436523438,4088.9743652344,4090.1281738281,4063.8461914063,4089.2307128906,4092.0512695313,4079.3588867188,4077.1794433594,4138.8461914063,4091.1538085938,4101.6665039063
67,4100.6411132813,4084.3588867188,4092.3076171875,4105.6411132813,4084.8718261719,4090.6411132813,4068.4614257813,4094.4870605469,4102.0512695313,4079.4870605469,4077.1794433594,4142.1796875,4092.3076171875,4103.9741210938
68,4106.0258789063,4088.58984375,4090.1281738281,4105.1284179688,4078.4614257813,4091.1538085938,4067.4357910156,4103.4614257813,4100.2563476563,4077.4357910156,4073.9743652344,4143.205078125,4088.9743652344,4106.6665039063
69,4108.205078125,4089.6154785156,4089.2307128906,4098.58984375,4077.3076171875,4089.7436523438,4067.3076171875,4106.2822265625,4097.6923828125,4081.1538085938,4075.7692871094,4139.615234375,4089.8718261719,4106.1538085938
70,4107.0512695313,4087.5642089844,4088.3332519531,4095.5129394531,4083.0769042969,4095.0,4075.6411132813,4106.0258789063,4104.7436523438,4087.3076171875,4078.4614257813,4136.5385742188,4093.3332519531,4104.8715820313
71,4105.8974609375,4088.9743652344,4090.5129394531,4103.8461914063,4080.7692871094,4100.1284179688,4078.7180175781,4103.4614257813,4107.1796875,4089.3588867188,4075.6411132813,4141.1538085938,4092.0512695313,4104.615234375
72,4104.4873046875,4086.9230957031,4095.7692871094,4108.9741210938,4079.2307128906,4097.1796875,4076.0256347656,4100.5126953125,4105.6411132813,4088.58984375,4074.2307128906,4149.615234375,4093.58984375,4105.8974609375
73,4104.3588867188,4088.7180175781,4097.0512695313,4106.5385742188,4089.4870605469,4094.2307128906,4073.8461914063,4103.8461914063,4109.615234375,4090.7692871094,4079.8718261719,4157.0512695313,4102.9487304688,4108.8461914063
74,4109.2309570313,4099.7436523438,4097.3076171875,4105.6411132813,4087.0512695313,4092.4357910156,4069.7436523438,4107.4360351563,4111.5385742188,4092.3076171875,4087.0512695313,4163.0771484375,4106.9228515625,4110.6411132813
75,4113.205078125,4101.1538085938,4101.6665039063,4107.8203125,4077.3076171875,4090.0,4066.5385742188,4105.0,4107.4360351563,4089.6154785156,4090.6411132813,4153.4614257813,4103.8461914063,4110.2563476563
76,4111.0258789063,4097.6923828125,4104.8715820313,4110.2563476563,4087.4357910156,4091.5385742188,4067.9487304688,4107.3076171875,4107.8203125,4090.7692871094,4092.0512695313,4133.3334960938,4105.5126953125,4108.4614257813
